name,voltage,load,gen,kind,critical,pathredundacy
N200,277,0,0,PV,1,0
N201,277,0,625,PV,1,0
N202,277,0,625,PV,1,0
N203,277,0,0,PV,1,0
N204,7200,0,0, PQ,1,2
N205,7200,31,0, PQ,3,1
N300,7200,0,0, PQ,1,2
N303,7200,0,3250,PV,1,0
N304,7200,0,3004,PV,1,0
N305,7200,0,1406,PV,1,0
N306,7200,0,0,PV,1,0
N307,7200,0,5000,PV,1,0
N308,7200,0,0,PV,1,0
N315,277,0,0,PV,1,0
N507,7200,234,0, PQ,1,2
N514,7200,1111,0, PQ,1,2
N518,7200,355,0, PQ,3,2
N526,7200,1920,0, PQ,2,1
N627,7200,108,0, PQ,1,2
N620,7200,217,0, PQ,1,3
N614,7200,92.5,0, PQ,1,2
N612,7200,42.5,0, PQ,3,2
N608,7200,55,0, PQ,3,2
N606,7200,5.1,0, PQ,1,1
N731,7200,1450,0, PQ,2,2
N720,7200,39,0, PQ,2,2
N722,7200,24.2,0, PQ,1,3
N707,7200,1239,0, PQ,1,3
N701,7200,0,0, PQ,1,2
N801,7200,520,0, PQ,1,3
N806,7200,245,0, PQ,3,2
N808,7200,650,0, PQ,1,3
N850,7200,129,0, PQ,1,2
N811,7200,0,0, PQ,1,2
N813,7200,128,0, PQ,2,2
N822,7200,62,0, PQ,2,1
N829,7200,12,0, PQ,3,1
N831,7200,2.5,0, PQ,1,3
N838,7200,219,0, PQ,1,2
N941,7200,44,0, PQ,1,3
N937,7200,8,0, PQ,1,3
N931,7200,15.5,0, PQ,1,3
N921,7200,42.6,0, PQ,2,2
N920,7200,2.5,0, PQ,1,2
N916,7200,2.5,0, PQ,1,3
N911,7200,2,0, PQ,3,1
N910,7200,17.3,0, PQ,1,3
N901,7200,0,0, PQ,1,3
N400,7200,0,inf, SWING,1,0
LD5,7200,0,,PQ,3,3
N100,2400,0,3750,PV,2,0
N101,2400,0,3750,PV,2,0
N102,2400,0,0,PV,2,0
N103,14400,0,, PQ,2,2
N104,14400,0,0, PQ,3,1
